"<ID|readonly|noverify>";"<English>";

"ships/uss_cv_immortal_0";"USS Immortal";;
"ships/uss_cv_immortal_1";"USS Immortal";;
"ships/uss_cv_immortal_2";"USS Immortal";;

"ships/uss_lcvp_light_0";"Higgins Boat";;
"ships/uss_lcvp_light_1";"Higgins Boat";;
"ships/uss_lcvp_light_2";"Higgins Boat";;

"tracked_vehicles/ussr_t34_85_increased_pitch_0";"T-34-85 (ZIS-53)";;
"tracked_vehicles/ussr_t34_85_increased_pitch_1";"T-34-85 (ZIS-53)";;
"tracked_vehicles/ussr_t34_85_increased_pitch_2";"T-34-85 (ZIS-53)";;

"air_defence/searchLightTop_0";"Searchlight";;
"air_defence/searchLightTop_1";"Searchlight";;
"air_defence/searchLightTop_2";"Searchlight";;

"ships/germ_bb_tirpitz_searchlight_top_0";"Tirpitz";;
"ships/germ_bb_tirpitz_searchlight_top_1";"Tirpitz";;
"ships/germ_bb_tirpitz_searchlight_top_2";"Tirpitz";;

"ships/germ_dd_z28_searchlight_top_0";"Zerstörer 1936A Z 28";;
"ships/germ_dd_z28_searchlight_top_1";"Zerstörer 1936A Z 28";;
"ships/germ_dd_z28_searchlight_top_2";"Zerstörer 1936A Z 28";;

"ships/ussr_aircraftcarrier_admiral_kuznetsov_0";"Admiral Kuznetsov";;
"ships/ussr_aircraftcarrier_admiral_kuznetsov_1";"Admiral Kuznetsov";;
"ships/ussr_aircraftcarrier_admiral_kuznetsov_2";"Admiral Kuznetsov";;

"ships/jp_aircraftcarrier_shokaku_0";"IJN Shōkaku";;
"ships/jp_aircraftcarrier_shokaku_1";"IJN Shōkaku";;
"ships/jp_aircraftcarrier_shokaku_2";"IJN Shōkaku";;

"wheeled_vehicles/truck_arcade_0";"ZIS-5 Cargo Truck";;
"wheeled_vehicles/truck_arcade_1";"ZIS-5 Cargo Truck";;
"wheeled_vehicles/truck_arcade_2";"ZIS-5 Cargo Truck";;

"ships/cargo_ship_arcade_0";"Cargo Ship";;
"ships/cargo_ship_arcade_1";"Cargo Ship";;
"ships/cargo_ship_arcade_2";"Cargo Ship";;

"structures/dummy_arcade_0";"Base Building";;
"structures/dummy_arcade_1";"Base Building";;
"structures/dummy_arcade_2";"Base Building";;

"structures/dummy_airfield_0";"Airfield";;
"structures/dummy_airfield_1";"Airfield";;
"structures/dummy_airfield_2";"Airfield";;

"structures/flag_victory_0";"Flag";;
"structures/flag_victory_1";"Flag";;
"structures/flag_victory_2";"Flag";;

"structures/dummy_airfield_5k_0";"Airfield";;
"structures/dummy_airfield_5k_1";"Airfield";;
"structures/dummy_airfield_5k_2";"Airfield";;

"structures/dummy_bombtarget_0";"Bombing Point";;
"structures/dummy_bombtarget_1";"Bombing Point";;
"structures/dummy_bombtarget_2";"Bombing Point";;

"structures/dummy_bombtarget_airfield_0";"Runway";;
"structures/dummy_bombtarget_airfield_2";"Runway";;

"structures/tank_target_10a_char_0";"Target №10a";;
"structures/tank_target_10a_char_1";"Target №10a";;
